ID,Info,en,fi,sv,ma
templates.intro,,Remember to use a Markdown Level 1 Heading (# My Heading 1) when composing your templates.,,,
services,,Services,,,
services.create,,Create service,,,
services.desc,,Connect your forms and other integrations to your content with the Wrench and Dialob workflows,,,
services.add,,Add a service,,,
services.change,,Change existing services,,,
services.edit,,Edit service,,,
services.technicalname,,User given unique service name,,,
services.technicalname.description,,Workflow descriptive name,,,
services.selected,,Selected services,,,
services.devmode.helper,,"If Development mode is active, this service will only appear in the development environment for testing. It will not be included in production releases.",,,
services.devmode,,Development mode,,,
services.anonmode.helper,,"If anonymous mode is active, this service will appear for BOTH anonymous and authenticated users.",,,
services.anonmode,,Anonymous mode,,,
services.flowName,,Flow name,,,
services.flowName.description,,Flow name as defined in the Wrench,,,
services.formName,,Dialob form name,,,
services.formName.description,,Name of Dialob form used in service,,,
services.formTag,,Dialob form tag,,,
services.formTag.description,,Tag name for Dialob form used in service,,,
services.startdate,,Start date and time,,,
services.startdate.description,,Service activation date and time,,,
services.enddate,,End date and time,,,
services.enddate.description,,Service activation ending date and time,,,
services.delete,,Delete service,,,
services.delete.desc,,"Deleting this service will permanently remove it from the application, and all associations with Articles/Pages will be lost.",,,
snack.article.createdMessage,,Article created successfully,,,
snack.article.deletedMessage,,Article deleted,,,
snack.article.editedMessage,,Article changes saved,,,
snack.page.createdMessage,,Page created successfully,,,
snack.page.deletedMessage,,Page deleted,,,
snack.page.savedMessage,,Page changes saved,,,
snack.page.missingTitle,,Please add a title to {locale} in {articleName},,,
snack.link.createdMessage,,Link created successfully,,,
snack.link.deletedMessage,,Link deleted,,,
snack.link.editedMessage,,Link changes saved,,,
snack.link.addedMessage,,Link added to article,,,
snack.link.removedMessage,,Link removed from article,,,
snack.workflow.createdMessage,,Service created successfully,,,
snack.workflow.deletedMessage,,Service deleted,,,
snack.workflow.editedMessage,,Service changes saved,,,
snack.workflow.addedMessage,,Service added to article,,,
snack.workflow.removedMessage,,Service removed from article,,,
snack.locale.createdMessage,,Locale created successfully,,,
snack.locale.deletedMessage,,Locale deleted,,,
snack.locale.editedMessage,,Locale changes saved,,,
snack.locale.enabled,,Locale enabled,,,
snack.locale.disabled,,Locale disabled,,,
snack.template.createdMessage,,Template created successfully,,,
snack.template.deletedMessage,,Template deleted,,,
snack.template.editedMessage,,Template changes saved,,,
snack.release.createdMessage,,Release created successfully,,,
